	3399-OG-10	3399-OG-13	3399-OG-14	3399-OG-15	3399-OG-16	3399-OG-19	3399-OG-20	3399-OG-31	3399-OG-32	3399-OG-33	3399-OG-34	3399-OG-9
ABALON	0	1	2	0	0	1	5	0	10	2	3	1
TPX2	0	8	2	3	0	4	3	0	0	5	0	0
AL160175.1	0	0	0	0	0	0	0	0	0	0	0	0
MYLK2	0	0	0	0	0	0	0	0	0	0	1	0
FOXS1	0	0	0	0	0	0	0	0	0	0	0	0
DUSP15	0	0	0	0	0	0	0	0	0	0	0	0
TTLL9	1	5	3	5	0	2	1	6	3	3	2	3
RNU1-94P	0	0	0	0	0	0	0	0	0	0	0	0
PDRG1	126	71	44	42	32	26	29	50	66	71	52	134
XKR7	0	0	0	0	0	5	0	1	0	1	0	0
AL031658.2	0	0	0	0	0	0	0	0	0	0	0	2
AL031658.1	2	2	0	2	4	0	0	0	0	0	2	0
RNA5SP481	0	0	0	0	0	0	0	0	0	0	0	0
CCM2L	0	0	2	0	0	1	0	0	1	0	0	1
RNA5SP482	0	0	0	0	0	0	0	0	0	0	0	0
HCK	1	255	284	65	312	33	45	76	82	57	82	3
TM9SF4	38	43	24	20	31	28	9	19	24	22	22	40
AL049539.1	0	0	0	0	0	0	0	1	0	0	0	0
RSL24D1P6	0	0	0	0	0	0	0	0	0	0	0	0
TSPY26P	6	2	5	1	1	1	0	1	1	2	0	4
PLAGL2	118	96	109	21	75	25	10	72	50	57	69	118
POFUT1	23	25	24	9	7	11	4	5	5	7	14	22
MIR1825	0	0	0	0	0	0	0	0	0	0	0	0
AL121897.1	0	0	0	0	0	0	0	0	0	0	0	1
KIF3B	89	176	140	42	60	32	26	64	85	78	80	80
AL121583.1	0	2	0	0	0	0	0	0	1	0	0	0
ASXL1	249	332	251	175	178	95	109	174	190	166	204	304
NOL4L	47	109	45	13	32	11	16	82	47	48	44	64
AL034550.1	0	0	0	0	0	0	0	0	2	0	0	0
AL034550.3	2	0	1	0	0	0	0	0	0	0	0	1
AL034550.2	0	3	0	0	0	0	0	1	0	2	2	0
AL133343.2	0	0	0	0	0	1	0	0	0	1	0	0
NOL4L-DT	0	0	0	0	0	0	0	0	0	0	0	0
